ID	Name	Role	Element	Rarity	Health	Damage	Accuracy	Evasion
75	Creepy Snowman	Assassin	Water	Uncommon	5	9	7	4
76	Harperion	Bruiser	Water	Uncommon	6	6	6	7
77	Glob-glob	Tank	Water	Uncommon	12	3	5	5
78	Demonic Axemaster	Bruiser	Abyss	Rare	9	10	8	8
79	Arcane Shifter	Bruiser	Arcane	Rare	7	12	9	6
80	Tempest	Mage	Construct	Rare	8	13	8	6
81	Voidmancer	Mage	Cosmic	Rare	9	14	4	8
82	Sacred Djinn	Mage	Divine	Rare	7	8	8	12
83	Worldeater	Mage	Earth	Rare	12	10	8	5
84	Ignitius	Tank	Fire	Rare	9	15	5	6
85	Static Zealot	Assassin	Lightning	Rare	7	10	11	7
86	Chimera	Bruiser	Neutral	Rare	10	9	8	8
87	Stalagtuss	Tank	Neutral	Rare	13	9	7	6
88	Hydrodon	Tank	Water	Rare	15	10	4	6
89	Bone Cairn	Tank	Abyss	Epic	22	12	10	6
90	Xanandor, the Eternal	Mage	Arcane	Epic	10	18	12	10
91	Cogface	Tank	Construct	Epic	20	8	10	12
92	Amhaodrru	Bruiser	Cosmic	Epic	16	14	10	10
93	Torald, the Celestial Blacksmith	Bruiser	Divine	Epic	13	13	11	13
94	Vihara, Watcher of the Wilds	Assassin	Earth	Epic	14	14	12	10
95	Nazar, the Infernal King	Mage	Fire	Epic	16	18	8	8
96	Blitz, Rider of the Storm	Assassin	Lightning	Epic	10	16	14	10
97	Yorn, the Possessed	Tank	Neutral	Epic	18	16	12	4
98	Acra, Queen of the Frozen Wastes	Bruiser	Water	Epic	13	14	13	10
99	Reaper of Souls	Assassin	Abyss	Mythic	16	23	16	15
100	Nostra, Immortal Spellblade	Assassin	Arcane	Mythic	12	22	18	18
101	Singularity	Bruiser	Construct	Mythic	23	17	16	14
102	Elesh Madea, Watcher of Worlds	Tank	Cosmic	Mythic	38	14	12	6
103	Hand of God	Tank	Divine	Mythic	19	19	14	18
104	Teldra´sin, God of Creation	Tank	Earth	Mythic	44	12	12	2
105	Ifrit, Destroyer of Worlds	Bruiser	Fire	Mythic	20	28	12	10
106	Wolt, God of Thunder	Bruiser	Lightning	Mythic	14	20	20	16
107	Avatar of Time	Mage	Neutral	Mythic	10	16	14	30
108	Aqua, God of the Ocean	Mage	Water	Mythic	20	22	14	14
